Snapshot = 0 .,Track_ID,x,y,z
,73,-648.293567,581.978446,727.592989
,74,-649.148329,581.64259,622.925502
,75,-563.223607,594.385767,868.471733
Snapshot = 16 .,Track_ID,x,y,z
,2,-685.180619,579.345475,658.638238
,3,-683.328592,578.522957,693.000051
,5,-649.698564,582.222319,657.626198
,8,-646.456759,581.045753,762.107385
,9,-647.678983,582.077539,797.432469
,12,-616.221481,587.428242,657.130287
,13,-615.017808,586.930776,691.918246
,16,-613.290258,586.596503,796.746204
,17,-613.50708,587.065696,831.940755
,22,-578.726718,591.147906,761.472333
,23,-579.151433,591.803288,796.74276
,24,-578.531489,591.742188,831.433013
,25,-547.637941,596.270178,621.142712
,26,-546.935387,595.968371,656.091141
,27,-546.379098,596.082573,690.597039
,29,-546.538014,596.731178,760.749074
,31,-546.487856,597.194539,831.146843
,32,-513.107103,602.244436,655.438703
,34,-512.044183,602.083742,725.000567
,35,-511.78591,602.077688,759.974603
,37,-511.215402,602.111515,829.745484
,38,-479.963932,609.072345,620.624305
,39,-478.437471,608.473203,655.394211
,42,-478.815486,609.369319,760.789845
,43,-477.637726,608.526304,795.063284
,46,-717.642246,575.982664,693.529067
,47,-683.043254,578.442305,728.095954
,49,-681.70905,578.226732,797.722139
,50,-681.494033,578.354598,832.571197
,52,-514.409202,603.098921,620.473555
,58,-565.046556,593.64204,691.927522
,59,-545.893158,596.555682,795.655122
,62,-684.235484,578.551313,623.54278
